# some real data
0,-0.11
1,-0.02
2,-0.04
3,0.09
4,-0.10
5,-0.03
6,0.08
7,-0.20
8,-0.12
9,-0.03
10,0.09
11,-0.34
12,-0.19
13,-0.11
14,-0.10
15,0.07
16,0.13
17,-0.03
18,-0.26
19,0.07
20,0.14
21,-0.09
22,-0.01
23,-0.01
24,-0.06
25,0.00
26,-0.08
27,0.06
28,0.38
29,0.06
30,-0.03
31,0.01
32,0.14
33,0.02
34,-0.01
35,-0.19
36,-0.10
37,-0.35
38,-0.10
39,0.20
40,-0.21
41,-0.16
42,-0.05
43,-0.20
44,-0.26
45,-0.08
46,-0.08
47,0.08
48,-0.09
49,-0.16
50,-0.05
51,-0.03
52,-0.17
53,-0.17
54,-0.45
55,-0.34
56,-0.10
57,-0.26
58,-0.35
59,-0.43
60,-0.42
61,-0.44
62,-0.20
63,-0.27
64,-0.15
65,-0.07
66,-0.11
67,-0.55
68,-0.22
69,-0.03
70,-0.32
71,-0.20
72,-0.20
73,-0.29
74,-0.11
75,-0.38
76,-0.04
77,-0.17
78,-0.14
79,-0.30
80,-0.30
81,-0.05
82,-0.13
83,-0.19
84,-0.27
85,-0.20
86,-0.14
87,-0.12
88,-0.06
89,-0.19
90,0.17
91,0.32
92,0.18
93,0.13
94,0.13
95,0.23
96,0.11
97,-0.07
98,-0.15
99,-0.02
100,-0.12
101,-0.15
102,0.08
103,0.02
104,-0.08
105,-0.11
106,-0.04
107,-0.01
108,0.15
109,0.11
110,0.04
111,0.07
112,0.03
113,0.01
114,0.02
115,-0.12
116,0.03
117,-0.02
118,-0.14
119,0.25
120,0.18
121,0.00
122,0.00
123,0.28
124,-0.03
125,0.04
126,-0.11
127,0.32
128,0.17
129,0.23
130,0.39
131,0.23
132,0.27
133,0.41
134,0.25
135,0.19
136,0.18
137,0.28
138,0.48
139,0.21
140,0.31
141,0.34
142,0.28
143,0.25
144,0.21
145,0.37
146,0.27
147,0.30
148,0.58
149,0.35
150,0.28
151,0.36
152,0.46
153,0.47
154,0.49
155,0.48
156,0.43
157,0.52
158,0.27
159,0.41
160,0.62
161,0.39
162,0.35
163,0.46
164,0.51
165,0.59
166,0.88
167,0.71
168,0.57
169,0.69
170,0.80
171,0.55
172,0.66
173,0.67
174,1.03
